"";"kode_hoved";"area";"percent"
"1";"L";23083,793;2,2651
"2";"T01";7530,505;0,7389
"3";"T03";355253,616;34,8587
"4";"T07";314539,969;30,8638
"5";"T14";147502,458;14,4735
"6";"T27";127604,18;12,521
"7";"V01";14856,745;1,4578
"8";"V06";28752,37;2,8213
